,Company name
0,Adani Ports and Special Economic Zone Limited
1,Asian Paints Limited
2,Axis Bank Limited
3,Bajaj Auto Limited
4,Bajaj Finserv Ltd.
5,Bajaj Finance Limited
6,Bharti Airtel Limited
7,Bharat Petroleum Corporation Limited
8,Britannia Industries Limited
9,Cipla Limited
10,Coal India Limited
11,Divi's Laboratories Limited
12,Dr. Reddy's Laboratories Limited
13,Eicher Motors Limited
14,GAIL (India) Limited
15,Grasim Industries Limited
16,HCL Technologies Limited
17,Housing Development Finance Corporation Limited
18,HDFC Bank Limited
19,HDFC Life Insurance Company Limited
20,Hero MotoCorp Limited
21,Hindalco Industries Limited
22,Hindustan Petroleum Corporation Limited
23,Hindustan Unilever Limited
24,ICICI Bank Limited
25,ICICI Lombard General Insurance Company Limited
26,ICICI Prudential Life Insurance Company Limited
27,IndusInd Bank Limited
28,Infosys Limited
29,Indian Oil Corporation Limited
30,ITC Limited
31,JSW Steel Limited
32,Kotak Mahindra Bank Limited
33,L&T Finance Holdings Limited
34,Larsen & Toubro Limited
35,Mahindra & Mahindra Limited
36,Marico Limited
37,Maruti Suzuki India Limited
38,National Aluminium Company Limited
39,Nestlé India Limited
40,NMDC Limited
41,NTPC Limited
42,Oil and Natural Gas Corporation Limited
43,Power Grid Corporation of India Limited
44,Reliance Industries Limited
45,SBI Life Insurance Company Limited
46,State Bank of India
47,Shree Cement Limited
48,Sun Pharmaceutical Industries Limited
49,Tata Chemicals Limited
50,Tata Consumer Products Limited
51,Tata Motors Limited
52,Tata Steel Limited
53,Tata Consultancy Services Limited
54,Tech Mahindra Limited
55,Titan Company Limited
56,Torrent Pharmaceuticals Limited
57,United Breweries Limited
58,UltraTech Cement Limited
59,UPL Limited
60,Vedanta Limited
61,Wipro Limited
62,Zee Entertainment Enterprises Limited
63,Adani Power Limited
64,Ajanta Pharma Limited
65,Alkem Laboratories Limited
66,Amara Raja Batteries Limited
67,Ambuja Cements Limited
68,Alembic Pharmaceuticals Limited
69,Apollo Hospitals Enterprise Limited
70,Apollo Tyres Limited
71,Ashok Leyland Limited
72,Astral Limited
73,Aurobindo Pharma Limited
74,Balkrishna Industries Limited
75,Bandhan Bank Limited
76,Bank of Baroda
77,Bata India Limited
78,Berger Paints India Limited
79,Bharat Forge Limited
80,Bharat Forge Limited
81,Bharat Rasayan Limited
82,Bharat Rasayan Limited
83,Biocon Limited
84,Blue Dart Express Limited
85,"The Bombay Burmah Trading Corporation, Limited"
86,Canara Bank
87,Castrol India Limited
88,Central Bank of India
89,Cholamandalam Investment and Finance Company Limited
90,Colgate-Palmolive (India) Limited
91,City Union Bank Limited
92,Cummins India Limited
93,DLF Limited
94,Dabur India Limited
95,Deepak Nitrite Limited
96,Dish TV India Limited
97,DCB Bank Limited
98,Dr. Reddy's Laboratories Limited
99,Edelweiss Financial Services Limited
100,Escorts Kubota Limited
101,Equitas Holdings Limited
102,Escorts Kubota Limited
103,Exide Industries Limited
104,The Federal Bank Limited
105,Fortis Healthcare Limited
106,General Insurance Corporation of India
107,Glenmark Pharmaceuticals Limited
108,GMR Airports Infrastructure Limited
109,Godrej Consumer Products Limited
110,Godrej Industries Limited
111,Godrej Properties Limited
112,Granules India Limited
113,Gujarat State Fertilizers & Chemicals Limited
114,Gujarat Gas Limited
115,Havells India Limited
116,Hindustan Construction Company Limited
117,HeidelbergCement India Limited
118,Heritage Foods Limited
119,Hindustan Copper Limited
120,Hindustan Zinc Limited
121,Housing and Urban Development Corporation Limited
122,IDBI Bank Limited
123,Vodafone Idea Limited
124,IDFC First Bank Limited
125,IFCI Limited
126,Indraprastha Gas Limited
127,The Indian Hotels Company Limited
128,Indian Bank
